relative_path,num_steps,safety_trigger_count,safety_trigger_ratio,bound_violation_count,norm_violation_count,jump_violation_count,workspace_violation_count,abnormal_sequence_count,rejected_action_count,raw_motion_norm_mean,raw_motion_norm_max,safe_motion_norm_mean,safe_motion_norm_max,raw_action_jump_mean,raw_action_jump_max,safe_action_jump_mean,safe_action_jump_max
task0_ep46/actions.npy,72,42,0.5833333333333334,42,0,1,0,20,0,0.9069892168045044,1.2332088947296143,0.906927764415741,1.2332088947296143,0.1404336839914322,0.5046025514602661,0.1403961330652237,0.5
task0_ep47/actions.npy,112,67,0.5982142857142857,65,0,4,0,24,0,0.8528351187705994,1.3785878419876099,0.8489035964012146,1.3785878419876099,0.17006400227546692,0.981347918510437,0.1614062488079071,0.5
task0_ep48/actions.npy,104,57,0.5480769230769231,56,0,4,0,13,0,0.8456640243530273,1.3818260431289673,0.8428993225097656,1.3818260431289673,0.15062516927719116,0.7136988043785095,0.15046267211437225,0.5
task0_ep49/actions.npy,72,43,0.5972222222222222,43,0,1,0,16,0,0.9212286472320557,1.193320393562317,0.9212791919708252,1.193320393562317,0.14185841381549835,0.5427515506744385,0.1416480839252472,0.5
task0_ep5/actions.npy,71,41,0.5774647887323944,41,0,1,0,14,0,0.8552964329719543,1.1455564498901367,0.8550565242767334,1.1455564498901367,0.13548234105110168,0.5763249397277832,0.1354755014181137,0.5
task0_ep6/actions.npy,77,36,0.4675324675324675,36,0,0,0,6,0,0.8507548570632935,1.190621018409729,0.8507548570632935,1.190621018409729,0.12440028041601181,0.39706161618232727,0.12440028041601181,0.39706161618232727
task0_ep7/actions.npy,80,46,0.575,45,0,1,0,16,0,0.9035013318061829,1.181010365486145,0.9030882120132446,1.181010365486145,0.1251051276922226,0.6449477076530457,0.12496126443147659,0.5
task0_ep8/actions.npy,79,40,0.5063291139240507,40,0,0,0,17,0,0.8602824211120605,1.1569157838821411,0.8602824211120605,1.1569157838821411,0.13292661309242249,0.39239412546157837,0.13292661309242249,0.39239412546157837
task0_ep9/actions.npy,74,44,0.5945945945945946,44,0,0,0,15,0,0.844066858291626,1.2425799369812012,0.844066858291626,1.2425799369812012,0.1275618076324463,0.493922621011734,0.1275618076324463,0.493922621011734
task1_ep0/actions.npy,108,79,0.7314814814814815,79,0,0,0,42,0,0.8141732811927795,1.1391719579696655,0.8141732811927795,1.1391719579696655,0.09432791918516159,0.3364284932613373,0.09432791918516159,0.3364284932613373
task1_ep1/actions.npy,99,72,0.7272727272727273,72,0,0,0,52,0,0.8180930614471436,1.202971339225769,0.8180930614471436,1.202971339225769,0.0946853756904602,0.3042406439781189,0.0946853756904602,0.3042406439781189
task1_ep10/actions.npy,101,72,0.7128712871287128,72,0,0,0,45,0,0.8080379366874695,1.1547797918319702,0.8080379366874695,1.1547797918319702,0.0885588675737381,0.3341968357563019,0.0885588675737381,0.3341968357563019
task1_ep11/actions.npy,113,79,0.6991150442477876,79,0,0,0,38,0,0.7737406492233276,1.1994117498397827,0.7737406492233276,1.1994117498397827,0.10469736903905869,0.4071875214576721,0.10469736903905869,0.4071875214576721
task1_ep12/actions.npy,108,72,0.6666666666666666,71,0,1,0,25,0,0.8004993200302124,1.1777491569519043,0.8005373477935791,1.1777491569519043,0.10233259946107864,0.6034922003746033,0.10144796222448349,0.5
task1_ep13/actions.npy,110,74,0.6727272727272727,74,0,2,0,17,0,0.7961912751197815,1.1916301250457764,0.7962429523468018,1.1916301250457764,0.09852121770381927,0.5832583904266357,0.09824347496032715,0.5
task1_ep14/actions.npy,110,67,0.6090909090909091,67,0,0,0,29,0,0.7878528237342834,1.2245614528656006,0.7878528237342834,1.2245614528656006,0.08987580984830856,0.32248446345329285,0.08987580984830856,0.32248446345329285
task1_ep15/actions.npy,102,71,0.696078431372549,71,0,0,0,33,0,0.8029707074165344,1.1774468421936035,0.8029707074165344,1.1774468421936035,0.09038805216550827,0.38060393929481506,0.09038805216550827,0.38060393929481506
